relative_path,split,actor_group,label,size_bytes,sha256,width,height,fps,frame_count,duration_seconds,codec,valid,error,reason
normal/normal-1.mp4,train,A_checkered,0,2512830,f95ec881ae902c91595b25000745f159bb47b77adcf03aa4bc67f485771248af,640,480,30.0,318,10.6,FMP4,True,,Primary checkered-shirt actor and connected takes
normal/normal-2.mp4,train,B_light_blue,0,2764188,7d379948718f72936ad4aedbd4a276a30c9771d8e111a38e76b4955a00b92ef0,640,480,30.0,320,10.666666666666666,FMP4,True,,Primary light-blue-shirt actor and connected takes
normal/normal-3.mp4,train,B_light_blue,0,3407982,61b1ffa6a2bc1612c847b3a782ec567c7eac8d82a399bbf6ee0389ab50c47dff,640,480,30.0,336,11.2,FMP4,True,,Primary light-blue-shirt actor and connected takes
normal/normal-4.mp4,train,B_light_blue,0,3362976,c8844ce5fcf09156549f45e8451999fd2b485e186b3bf9480fa38ed74450d2e3,640,480,30.0,336,11.2,FMP4,True,,Primary light-blue-shirt actor and connected takes
normal/normal-5.mp4,train,B_light_blue,0,3643494,0a9a677c9c1862ac0e1d32adca751e22a3f888f542302818ca2f6d9f80ae7817,640,480,30.0,336,11.2,FMP4,True,,Primary light-blue-shirt actor and connected takes
normal/normal-6.mp4,train,C_purple,0,2436062,071ee3cd96d084e6d40663ba3be3e5c247ae8da96d567551020cb203a21c3c37,640,480,30.0,346,11.533333333333333,FMP4,True,,Primary purple-shirt actor and connected takes
normal/normal-7.mp4,train,D_navy_stripe,0,3563534,b1d537d46732139b14e464a9b303f70aa9d51958574d4dfeaa78388370db8234,640,480,30.0,341,11.366666666666667,FMP4,True,,Primary navy/striped-shirt actor and connected takes
normal/normal-8.mp4,train,D_navy_stripe,0,3609967,79b5f2fbfaed65be8a6a5f0ac1d00d8f31bd89b1f2f7ff231daa3fdac346407b,640,480,30.0,350,11.666666666666666,FMP4,True,,Primary navy/striped-shirt actor and connected takes
normal/normal-9.mp4,train,D_navy_stripe,0,3345090,3c22b9b1692738948f7f58c737ff3674af6c83d1320ba1d887f7d32a8d135b2b,640,480,30.0,315,10.5,FMP4,True,,Primary navy/striped-shirt actor and connected takes
normal/normal-10.mp4,train,D_navy_stripe,0,3570781,037425361930a7d594bfbf6be53193b16eadf0ba352e92287e0de283ef383b60,640,480,30.0,351,11.7,FMP4,True,,Primary navy/striped-shirt actor and connected takes
normal/normal-11.mp4,train,E_older_plaid,0,3745334,f9da487ae1bc9cecff90fd317d6a52db01fe47cd442ac4a41960eed91878fb98,640,480,30.0,350,11.666666666666666,FMP4,True,,Older plaid-shirt actor; normal-only group
normal/normal-12.mp4,excluded,excluded_context,0,3721583,0343209f34813e9e9c94890f45a25e757b674a8bc9e40dbc58bc7254bcd3ac0d,640,480,30.0,346,11.533333333333333,FMP4,True,,Context/background-only or unsuitable active-person evidence
normal/normal-13.mp4,excluded,excluded_context,0,2957525,411f73255ae7aa4f8f51498f1a0f284b24cb68b8ca059f0f30e065c8ecdbadb8,640,480,30.0,311,10.366666666666667,FMP4,True,,Context/background-only or unsuitable active-person evidence
normal/normal-14.mp4,test,F_gray_backpack,0,4969862,ded3f218087a36215535a65ecbf7637149098f61a9c8b39269209bce1cae861f,640,480,30.0,309,10.3,FMP4,True,,Primary gray-plaid/backpack actor
normal/normal-15.mp4,test,IJK_connected_session,0,3365347,0dd020360453c3b800ea85d3f9b96e458ceb584a7000c0d780e3723be21f40f1,640,480,30.0,315,10.5,FMP4,True,,"Red, green, and blue actors co-occur in one connected session"
normal/normal-16.mp4,test,IJK_connected_session,0,4671303,2266ed961d769a331b8b165b57650c9e9d171a4e61d31438953082f483caf852,640,480,30.0,352,11.733333333333333,FMP4,True,,"Red, green, and blue actors co-occur in one connected session"
normal/normal-17.mp4,train,C_purple,0,3998689,51a1b475d67fa2e6df544aecf212d9937fb44ef8f01705396f1c1396764261bb,640,480,30.0,351,11.7,FMP4,True,,Primary purple-shirt actor and connected takes
normal/normal-18.mp4,train,A_checkered,0,3289246,2818483cb9a3cc3ff158c07f78de8bdccc64dc14932b23ff581ce671035d5e4c,640,480,30.0,320,10.666666666666666,FMP4,True,,Primary checkered-shirt actor and connected takes
normal/normal-19.mp4,train,A_checkered,0,3175590,e4cafd0ef81780fc808243a789ca874b29c7764bd39e4934cae05425ba7e0c77,640,480,30.0,320,10.666666666666666,FMP4,True,,Primary checkered-shirt actor and connected takes
normal/normal-20.mp4,train,A_checkered,0,3261253,25932928c2b28291fdfcf56196f0928e6124b2bc910e0818ff5a7df7d788f2a7,640,480,30.0,350,11.666666666666666,FMP4,True,,Primary checkered-shirt actor and connected takes
normal/normal-21.mp4,train,B_light_blue,0,4337677,d78f59d58de29b7685e02f59d3f3b3271dbfcf07b65bf56c66872545ef22b38a,640,480,30.0,323,10.766666666666667,FMP4,True,,Primary light-blue-shirt actor and connected takes
