seed,epoch,train_loss,validation_selection_score,validation_accuracy,validation_balanced_accuracy,validation_roc_auc,selected_at_this_epoch
11,0,0.7132507562637329,0.533125,0.4444444444444444,0.5,0.6625,True
11,5,0.6997672915458679,0.6087499999999999,0.6111111111111112,0.575,0.675,True
11,10,0.6856549382209778,0.5081249999999999,0.5,0.475,0.6625,False
11,15,0.6650601029396057,0.5806250000000001,0.5555555555555556,0.55,0.6125,False
11,20,0.6399877667427063,0.60625,0.5555555555555556,0.575,0.625,False
11,25,0.616050124168396,0.58125,0.5555555555555556,0.55,0.625,False
11,30,0.5842412114143372,0.6068749999999999,0.5555555555555556,0.575,0.6375,False
11,35,0.5525836944580078,0.6068749999999999,0.5555555555555556,0.575,0.6375,False
11,40,0.5199266672134399,0.6068749999999999,0.5555555555555556,0.575,0.6375,False
11,45,0.48393118381500244,0.6074999999999999,0.5555555555555556,0.575,0.65,False
11,50,0.45639097690582275,0.6081249999999999,0.5555555555555556,0.575,0.6625,False
11,55,0.42856481671333313,0.6081249999999999,0.5555555555555556,0.575,0.6625,False
11,60,0.39748120307922363,0.6081249999999999,0.5555555555555556,0.575,0.6625,False
11,65,0.38111042976379395,0.6081249999999999,0.5555555555555556,0.575,0.6625,False
11,70,0.35630905628204346,0.6081249999999999,0.5555555555555556,0.575,0.6625,False
11,75,0.34078532457351685,0.6081249999999999,0.5555555555555556,0.575,0.6625,False
11,80,0.32374635338783264,0.6081249999999999,0.5555555555555556,0.575,0.6625,False
11,85,0.3151920735836029,0.6081249999999999,0.5555555555555556,0.575,0.6625,False
11,90,0.2970743477344513,0.6081249999999999,0.5555555555555556,0.575,0.6625,False
11,95,0.28351640701293945,0.65875,0.6111111111111112,0.625,0.675,True
11,100,0.28452062606811523,0.659375,0.6111111111111112,0.625,0.6875,True
11,105,0.2525801658630371,0.659375,0.6111111111111112,0.625,0.6875,False
11,110,0.2434001863002777,0.65875,0.6111111111111112,0.625,0.675,False
11,115,0.25206759572029114,0.65875,0.6111111111111112,0.625,0.675,False
11,120,0.23182663321495056,0.65875,0.6111111111111112,0.625,0.675,False
11,125,0.23294861614704132,0.65875,0.6111111111111112,0.625,0.675,False
11,130,0.21151161193847656,0.659375,0.6111111111111112,0.625,0.6875,False
11,135,0.22222565114498138,0.659375,0.6111111111111112,0.625,0.6875,False
11,140,0.21368442475795746,0.66,0.6111111111111112,0.625,0.7,True
11,145,0.19614548981189728,0.7100000000000001,0.6666666666666666,0.675,0.7,True
11,150,0.2130366861820221,0.66,0.6111111111111112,0.625,0.7,False
11,155,0.19918325543403625,0.7100000000000001,0.6666666666666666,0.675,0.7,False
11,160,0.1871599406003952,0.66,0.6111111111111112,0.625,0.7,False
11,165,0.19244349002838135,0.7100000000000001,0.6666666666666666,0.675,0.7,False
11,170,0.18815673887729645,0.7106250000000001,0.6666666666666666,0.675,0.7125,True
11,175,0.171383336186409,0.7100000000000001,0.6666666666666666,0.675,0.7,False
11,180,0.17321068048477173,0.7093750000000001,0.6666666666666666,0.675,0.6875,False
11,185,0.17621774971485138,0.7093750000000001,0.6666666666666666,0.675,0.6875,False
11,190,0.16818951070308685,0.7093750000000001,0.6666666666666666,0.675,0.6875,False
11,195,0.15739402174949646,0.7093750000000001,0.6666666666666666,0.675,0.6875,False
11,200,0.15957719087600708,0.7100000000000001,0.6666666666666666,0.675,0.7,False
11,205,0.15338261425495148,0.7100000000000001,0.6666666666666666,0.675,0.7,False
11,210,0.1525404453277588,0.7100000000000001,0.6666666666666666,0.675,0.7,False
11,215,0.15259438753128052,0.7100000000000001,0.6666666666666666,0.675,0.7,False
11,220,0.13647401332855225,0.7100000000000001,0.6666666666666666,0.675,0.7,False
11,225,0.1365131139755249,0.7093750000000001,0.6666666666666666,0.675,0.6875,False
11,230,0.13658744096755981,0.7093750000000001,0.6666666666666666,0.675,0.6875,False
11,235,0.13590514659881592,0.70875,0.6666666666666666,0.675,0.675,False
11,240,0.1270134001970291,0.70875,0.6666666666666666,0.675,0.675,False
11,245,0.12354715913534164,0.70875,0.6666666666666666,0.675,0.675,False
11,250,0.12289456278085709,0.70875,0.6666666666666666,0.675,0.675,False
11,255,0.11975465714931488,0.70875,0.6666666666666666,0.675,0.675,False
